,sentence,label,source
69,This device is great in several situations:1.),1,amazon
70,Mic Doesn't work.,0,amazon
71,"Even in my BMW 3 series which is fairly quiet, I have trouble hearing what the other person is saying.",0,amazon
72,Great choice!,1,amazon
73,Nice docking station for home or work.,1,amazon
74,This is a beautiful phone.,1,amazon
75,Love this product.,1,amazon
76,Do Not Buy for D807...wrongly advertised for D807.,0,amazon
77,This is a great little item.,1,amazon
78,"I love this phone , It is very handy and has a lot of features .",1,amazon
79,I purchased this and within 2 days it was no longer working!!!!!!!!!,0,amazon
80,I wear it everyday and it holds up very well.,1,amazon
81,Not a good bargain.,0,amazon
82,"Well packaged, arrived on time, and works as intended.",1,amazon
83,The battery runs down quickly.,0,amazon
84,"This item worked great, but it broke after 6 months of use.",0,amazon
85,The headsets are easy to use and everyone loves them.,1,amazon
86,This phone works great.,1,amazon
87,The construction of the headsets is poor.,0,amazon
88,Product was excellent and works better than the verizon one and Boy was it cheaper!,1,amazon
89,The phone loads super!,1,amazon
90,"For a product that costs as much as this one does, I expect it to work far better and with greater ease than this thing does.",0,amazon
91,Made very sturdy.,1,amazon
92,Worked great!.,1,amazon
93,The ear buds only play music in one ear.,0,amazon
94,Dont waste your money...,0,amazon
95,Will order from them again!,1,amazon
96,If you plan to use this in a car forget about it.,0,amazon
97,I found this product to be waaay too big.,0,amazon
98,Best I've found so far .... I've tried 2 other bluetooths and this one has the best quality (for both me and the listener) as well as ease of using.,1,amazon
99,I'm very disappointed with my decision.,0,amazon
100,Integrated seamlessly with the Motorola RAZR phone.,1,amazon
101,"Buyer Beware, you could flush money right down the toilet.",0,amazon
102,Definitely a bargain.,1,amazon
103,The price was very good and with the free shipping and all it was a good purchase.,1,amazon
104,I received my supposedly new motorola 375 and apparently there was not a match between the phone and the charger.,0,amazon
105,"Pros:-Good camera - very nice pictures , also has cool styles like black and white, and more.",1,amazon
106,"That's a huge design flaw (unless I'm not using it correctly, which I don't think is the case).",0,amazon
107,"I love my 350 headset.. My Jabra350 bluetooth headset is great, the reception is very good and the ear piece is a comfortable fit.",1,amazon
108,"The camera, although rated at an impressive 1.3 megapixels, renders images that fall well below expectations of such a relatively high resolution.",0,amazon
109,I purcashed this for the car charger and it does not work.,0,amazon
110,"Sound quality on both end is excellent, I use headset to call my wife and ask my wife to use headset to call me !2.",1,amazon
111,This phone is slim and light and the display is beautiful.,1,amazon
112,its a little geeky but i think thats its sex on toast and it rocks and oozes sex right down to its battery embedded sleek stylish leather case.,1,amazon
113,"Great product, fast shipping!.",1,amazon
114,Absolutely great.,1,amazon
115,The keyboard is a nice compromise between a full QWERTY and the basic cell phone number keypad.,1,amazon
116,i got this phone around the end of may and i'm completely unhappy with it.,0,amazon
117,It is very comfortable on the ear.,1,amazon
118,It has been a winner for us.,1,amazon
119,)Setup couldn't have been simpler.,1,amazon
120,I've tried several different earpieces for my cell phone and this Jabra one is the first one I've found that fits my ear comfortably.,1,amazon
121,Could not get strong enough signal.,0,amazon
122,Iam very pleased with my purchase.,1,amazon
123,Bad Quality.,0,amazon
124,Gets the job done.,1,amazon
125,Great audio!.,1,amazon
126,Basically the service was very bad.,0,amazon
127,it did not work in my cell phone plug i am very up set with the charger!.,0,amazon
128,"I've only had my bluetooth for a few weeks, but I really like it.",1,amazon
129,The BT headset was such a disapoinment.,0,amazon
130,It is so small and you don't even realize that it is there after a while of getting used to it.,1,amazon
131,The accompanied software is almost brilliant.,1,amazon
132,Headset works great & was packaged nicely to avoid any damage.,1,amazon
133,!I definitly recommend!!,1,amazon
134,Buyer--Be Very Careful!!!!!.,0,amazon
135,The majority of the Logitech earbud headsets failed.,0,amazon
136,Very good stuff for the price.,1,amazon
137,My headset works just peachy-keen.,1,amazon
138,In my house I was getting dropped coverage upstairs and no coverage in my basement.,0,amazon
139,Voice recognition is tremendous!,1,amazon
140,What a waste.,0,amazon
141,"During several different 2 minute calls, I experienced 5 drops and it was in an area that had 5 bars.",0,amazon
142,I was not happy with this item.,0,amazon
143,very disappointed.,0,amazon
144,The phone takes FOREVER to charge like 2 to 5 hours literally.,0,amazon
145,I got this phone on reccomendation from a relative and I'm glad I did.,1,amazon
146,What a waste of time!,0,amazon
147,Its reception is very very poor.,0,amazon
148,Items stated as included from the description ARE NOT INCLUDED.,0,amazon
149,"After 3 months, screen just went black all of a sudden.",0,amazon
150,I Was Hoping for More.,0,amazon
151,"Audio Quality is poor, very poor.",0,amazon
152,I had absolutely no problem with this headset linking to my 8530 Blackberry Curve!,1,amazon
153,"I know that sounds funny, but to me it seemed like sketchy technology that wouldn't work well.Well, this one works great.",1,amazon
154,I've bought $5 wired headphones that sound better than these.,0,amazon
155,This phone is very fast with sending any kind of messages and web browsing is significantly faster than previous phones i have used.,1,amazon
156,"Nice quality build, unlike some cheap s*** out there.",1,amazon
157,This item is fantastic and works perfectly!,1,amazon
158,And I just love the colors!,1,amazon
159,W810i is just SUPERB.,1,amazon
160,"All I can do is whine on the Internet, so here it goes.The more I use the thing the less I like it.",0,amazon
161,Great charger.,1,amazon
162,This is essentially a communications tool that does not communicate.,0,amazon
163,Works like a charm; it work the same as the one I got with the phone.,1,amazon
164,"I still maintain that monkeys shouldn't make headphones, we just obviously don't share enough DNA to copy the design over to humans.",0,amazon
165,Great Value.,1,amazon
166,Doesn't work at all.. I bougth it for my L7c and its not working.,0,amazon
167,"The look of it is very sharp and the screen is nice and clear, with great graphics.",1,amazon
168,doesn't last long.,0,amazon
169,One thing I hate is the mode set button at the side.,0,amazon
170,EXCELLENT SERVICE!!!!!!!!.,1,amazon
171,Thank you for wasting my money.,0,amazon
172,How can that be?The audio quality is poor.,0,amazon
173,The iGo chargers and tips are really great.,1,amazon
174,The file browser offers all the options that one needs.Handsfree is great.,1,amazon
175,Superb Phone on a Great Network.,1,amazon
176,"I connected my wife's bluetooth,(Motorola HS850) to my phone and it worked like a charm whether the phone was in my pocket or the case.",1,amazon
177,"I put the latest OS on it (v1.15g), and it now likes to slow to a crawl and lock up every once in a while.",0,amazon
178,It only recognizes the Phone as its storage device.,0,amazon
179,"If you like a loud buzzing to override all your conversations, then this phone is for you!",0,amazon
180,Don't buy this product.,0,amazon
181,I've had this bluetoooth headset for some time now and still not comfortable with the way it fits on the ear.,0,amazon
182,The sound quality is good and functionality is awesome.,1,amazon
183,"I have this phone and it is a thorn in my side, I really abhor it.",0,amazon
184,I recently had problems where I could not stay connected for more than 10 minutes before being disconnected.,0,amazon
185,Incredible!.,1,amazon
186,Design Flaw?.,0,amazon
187,Great phone!.,1,amazon
188,Waste of 13 bucks.,0,amazon
189,"But when I check voice mail at night, the keypad backlight turns off a few seconds into the first message, and then I'm lost.",0,amazon
190,The replacement died in a few weeks.,0,amazon
191,Any ring tone..Overall good phone to buy..,1,amazon
192,Lately they have been extremely nice and helpful on the phone.,1,amazon
193,I have had problems wit hit dropping signal and more.,0,amazon
194,Not impressed.,0,amazon
195,"Light weight, I hardly notice it is there.",1,amazon
196,You'll love how thin it is.,1,amazon
197,Bad Choice.,0,amazon
198,The pleather case doesn't fit.,0,amazon
199,"useless phone, simply deaf.",0,amazon
200,"The color is even prettier than I thought it would be, and the graphics are incredibly sharp.",1,amazon
201,All in all I think it was a good investment.,1,amazon
202,It makes very strange ticking noises before it ends the call.,0,amazon
203,The best electronics of the available FM Transmitters.,1,amazon
204,Battery lasts only a few hours.,0,amazon
205,"great headset, very impressed - H500.",1,amazon
206,"The ""1.2"" mega pixel camera, being a part of a phone, is reasonably good7.",1,amazon
207,I've had this for nearly 2 years and it has worked great for me.,1,amazon
208,Good transmit audio.,1,amazon
209,We are sending it back.,0,amazon
210,I did not bother contacting the company for few dollar product but I learned the lesson that I should not have bought this form online anyway.,0,amazon
211,"If you hate earbugs, avoid this phone by all means.",0,amazon
212,Great price also!,1,amazon
213,"The range is very decent, I've been able to roam around my house with the phone in the living room with no reception/sound quality issues.",1,amazon
214,fast service.,1,amazon
215,I would highly recommend this.,1,amazon
216,I would recommend this.,1,amazon
217,"I also didn't like the ""on"" button, it felt like it would crack with use.",0,amazon
218,WORST PHONE EVER.,0,amazon
219,I'm still infatuated with this phone.,1,amazon
220,Freezes frequently4.,0,amazon
221,It's kind of embarrassing to use because of how it looks and mostly it's embarrassing how child-like the company is.,0,amazon
222,"Simple, lightweight and great fit.",1,amazon
223,"All in all, I'd expected a better consumer experience from Motorola.",0,amazon
224,There's a horrible tick sound in the background on all my calls that I have never experienced before.,0,amazon
225,These are certainly very comfortable and functionality is decent.,1,amazon
226,I usually don't like headbands but this one is very lightweight & doesn't mess up my hair.,1,amazon
227,I'm a bit disappointed.,0,amazon
228,"I have had this phone for over a year now, and I will tell you, its not that great.",0,amazon
229,I ordered this for sony Ericsson W810i but I think it only worked once (thats when I first used it).,0,amazon
230,The battery is completely useless to me.,0,amazon
231,What a big waste of time.,0,amazon
232,Don't waste your $$$ on this one.,0,amazon
233,Great sound and service.,1,amazon
234,Really pleased with this product so far.,1,amazon
235,One of my favorite purchases ever.,1,amazon
236,best bluetooth on the market.,1,amazon
237,Authentic leather with nice shine and comfort .I recommend you this case !!,1,amazon
238,I was very excited to get this headset because I thought it was really cute.,1,amazon
239,Do not make the same mistake as me.,0,amazon
240,Big Disappointment with calendar sync.,0,amazon
241,the phone was unusable and was not new.,0,amazon
242,Worst Customer Service Ever.,0,amazon
243,"No additional ear gels provided, and no instructions whatsoever.",0,amazon
244,It defeats the purpose of a bluetooth headset.,0,amazon
245,Worth every penny.,1,amazon
246,Excellent wallet type phone case.,1,amazon
247,Nice headphones for the price and they work great!,1,amazon
248,Internet is excrutiatingly slow.,0,amazon
249,"It is very comfortable to wear as well, which is probably the most important aspect about using a case.",1,amazon
250,"It's fits like a glove and is strong, secure, and durable.",1,amazon
251,O my gosh the best phone I have ever had.,1,amazon
252,It's very attractive and appears to be of good quality.,1,amazon
253,I love all the features and form factor.,1,amazon
254,This product had a strong rubber/petroleum smell that was unbearable after a while and caused me to return it,0,amazon
255,poor quality and service.,0,amazon
256,"The cable looks so thin and flimsy, it is scary.",0,amazon
257,Great Earpiece.,1,amazon
258,Excellent hands free tool.,1,amazon
259,Great for using with your home stereo.,1,amazon
260,Good product - incredible value.,1,amazon
261,Only had this a month but it's worked flawlessly so far.,1,amazon
262,Works great.,1,amazon
263,Absolutel junk.,0,amazon
264,THAT one didn't work either.,0,amazon
265,Battery life is real good.,1,amazon
266,Returned 8 hours later.,0,amazon
267,It's a great item.,1,amazon
268,Don't waste your money!.,0,amazon
269,Love this headset!,1,amazon
270,"Not only will it drain your player, but may also potentially fry it.",0,amazon
271,Worked perfectly!,1,amazon
272,Unreliable - I'm giving up.,0,amazon
273,I gave it 5 stars because of the sound quality.,1,amazon
274,Avoid this one if you can.,0,amazon
275,Reversible plug works great.,1,amazon
276,I wasted my little money with this earpiece.,0,amazon
277,Very good phone.,1,amazon
278,"Best of all is the rotating feature, very helpful.",1,amazon
279,Comfort for our whole family.,1,amazon
280,"Good product, good seller.",1,amazon
281,I love this bluetooth!,1,amazon
282,"First of all, it doesn't wear well.",0,amazon
283,I am very impressed with this headset from Plantronics.,1,amazon
284,I got it because it was so small and adorable.,1,amazon
285,Great phone!.,1,amazon
286,I wouldn't recommend buying this product.,0,amazon
287,Piece of Junk.,0,amazon
288,Poorly contstruct hinge.,0,amazon
289,"This item is great, installed it, let it charged up overnite and it has been working good every since with no problems",1,amazon
290,Great Phone.,1,amazon
291,Don't buy it.,0,amazon
292,Excellent Phone.,1,amazon
293,DO NOT PURCHASE THIS PHONE.,0,amazon
294,The voice recognition thru the handset is excellent.,1,amazon
295,This is hands down the best phone I've ever had.,1,amazon
296,"Works great, when my cat attacked the phone he scratched the protective strip instead of destroying the screen.",1,amazon
297,This one works and was priced right.,1,amazon
298,Customer service was terrible.,0,amazon
299,Battery life still not long enough in Motorola Razor V3i.,0,amazon
300,Sending it back.,0,amazon
301,Now I know that I made a wise decision.,1,amazon
302,Someone shouldve invented this sooner.,1,amazon
303,Good price.,1,amazon
304,Everything worked on the first try.The device was certainly engineered in a clever way and the construction feels good.,1,amazon
305,I received it quickly and it works great!!,1,amazon
306,Has been working great.,1,amazon
307,"As many people complained, I found this headset's microphone was very weak.",0,amazon
308,My 5-year old Nokia 2160 from Tracfone holds the charge a lot better than this.,0,amazon
309,They do not care about the consumer one bit.,0,amazon
310,"This is a good battery, and it got here really fast.",1,amazon
311,The instruction manual is lacking.,0,amazon
312,Also its slim enough to fit into my alarm clock docking station without removing the case.,1,amazon
313,Phone now holds charge like it did when it was new.,1,amazon
314,The battery is unreliable as well as the service use antena.,0,amazon
315,It's uncomfortable and the sound quality is quite poor compared with the phone (Razr) or with my previous wired headset (that plugged into an LG).,0,amazon
316,We have gotten a lot of compliments on it.,1,amazon
317,This is definitely a must have if your state does not allow cell phone usage while driving.,1,amazon
318,I want my money back.,0,amazon
319,I love this device.,1,amazon
320,I am also very happy with the price.,1,amazon
321,I ordered this product first and was unhappy with it immediately.,0,amazon
322,The Ngage is still lacking in earbuds.,0,amazon
323,I was able to do voice dialing in the car with no problem.,1,amazon
324,"I have 2-3 bars on my cell phone when I am home, but you cant not hear anything.",0,amazon
325,"good item, low price.",1,amazon
326,"However-the riingtones are not the best, and neither are the games.",0,amazon
327,The plug did not work very well.,0,amazon
328,AMAZON SUCKS.,0,amazon
329,Rip off---- Over charge shipping.,0,amazon
330,VERY comfortable.,1,amazon
331,The battery is working well as a replacement for the original that came with the phone over 2 years ago.,1,amazon
332,The reception is excellent!,1,amazon
333,"It fits comfortably in either ear, the sound is clear and loud, and the charge lasts a couple of days.",1,amazon
334,"very clear, quality sound and you don't have to mess with the sound on your iPod since you have the sound buttons on the headset.",1,amazon
335,1. long lasting battery (you don't have to recharge it as frequentyly as some of the flip phones)2.,0,amazon
336,Obviously there is a problem with the adhesive.,0,amazon
337,Very disappointing.,0,amazon
338,"It was an inexpensive piece, but I would still have expected better quality.",0,amazon
339,It is practically useless and did not add any kind of boost to my reception after I bought it.,0,amazon
340,Excellent sound quality.,1,amazon
341,Was not happy.,0,amazon
342,A PIECE OF JUNK THAT BROKE AFTER BEING ON MY PHONE FOR 2 DAYS!!!,0,amazon
343,New Battery works great in phone.,1,amazon
344,Worst customer service.,0,amazon
345,"I've dropped my phone more times than I can say, even on concrete and my phone is still great (knock on wood!).",1,amazon
346,Reception is terrible and full of static.,0,amazon
347,Good audio quality.,1,amazon
348,This little device has transformed my organizational capability and made my life a whole lot easier.,1,amazon
349,"I was sitting in my vehicle, with the cradle on my belt, and the headset lost signal.",0,amazon
350,Were JERKS on the phone.,0,amazon
351,Works like a charm.. Works as advertised.,1,amazon
352,"Comfortable, Nice Range, Good Battery Life.",1,amazon
353,Their network coverage in Los Angeles is horrible.,0,amazon
354,Excellent starter wireless headset.,0,amazon
355,"The loudspeaker option is great, the bumpers with the lights is very ... appealing.",0,amazon
356,The only thing that I think could improve is the sound leaks out from the headset.,0,amazon
357,"First off the reception sucks, I have never had more than 2 bars, ever.",0,amazon
358,The phone gets EXTREMELY HOT!,0,amazon
359,"The microphone also works well, but (according to people I have called) it applifies everything.",1,amazon
360,Nice design and quality.,1,amazon
361,"Also, if your phone is dropped, this case is not going to save it, specially when dropped face down.",0,amazon
362,"It is light, easy to use, and has very clear reception and transmission.",1,amazon
363,"bad fit, way too big.",0,amazon
364,It definitely was not as good as my S11.,1,amazon
365,awesome device.,1,amazon
366,Waste of money.,0,amazon
367,"I had ordered a motorola data cable, got a very well finished and working product.",1,amazon
368,Love This Phone.,1,amazon
369,I was looking for this headset for a long time and now that I've got it I couldn't be happier.,1,amazon
370,"I'll be drivng along, and my headset starts ringing for no reason.",0,amazon
371,Display is excellent and camera is as good as any from that year.,1,amazon
372,Battery life is also great!,1,amazon
373,The worst phone I've ever had.... Only had it for a few months.,0,amazon
374,Not a good item.. It worked for a while then started having problems in my auto reverse tape player.,0,amazon
375,This is so embarassing and also my ears hurt if I try to push the ear plug into my ear.,0,amazon
376,Protects the phone on all sides.,1,amazon
377,This is a VERY average phone with bad battery life that operates on a weak network.,0,amazon
378,"Clear Skype Calls, Long Battery Life, Long Range.",1,amazon
379,Soyo technology sucks.,0,amazon
380,Great Hands Free Device.,1,amazon
381,"you can even take self portraits with the outside (exterior) display, very cool.",1,amazon
382,Same problem as others have mentioned.,0,amazon
383,After trying many many handsfree gadgets this is the one that finally works well.,1,amazon
384,Magical Help.,1,amazon
385,The worst piece of crap ever along with the Verizon customer service.,0,amazon
386,Poor sound quality.,0,amazon
387,The best phone in market :).,1,amazon
388,It worked very well.,1,amazon
389,The company shipped my product very promptly and it works well.,1,amazon
390,Exactly what I wanted.,1,amazon
391,The picture resolution is far below what other comparably-priced phones are offering today.,0,amazon
392,This is a great deal.,1,amazon
393,"Excellent product, I am very satisfied with the purchase.",1,amazon
394,I highly recommend these and encourage people to give them a try.,1,amazon
395,Better than you'd expect.,1,amazon
396,"Using all earpieces, left or right, this thing will not stay on my ear.",0,amazon
397,Great product and price.,1,amazon
398,"Sounds good reasonably priced and effective, Its that simple !",1,amazon
399,Still Waiting...... I'm sure this item would work well.. if I ever recieve it!,0,amazon
400,what a disappointment,0,amazon
401,Very prompt service.,1,amazon
402,Excellent product for the price.,1,amazon
403,Very pleased with this headset.,1,amazon
404,don't waste your money and time.,0,amazon
405,I especially love the long battery life.,1,amazon
406,"It's so stupid to have to keep buying new chargers, car chargers, cradles, headphones and car kits every time a new phone comes out.",0,amazon
407,Works great.,1,amazon
408,Plantronics Bluetooth Excelent Buy.,1,amazon
409,I came over from Verizon because cingulair has nicer cell phones.... the first thing I noticed was the really bad service.,0,amazon
410,I'll be looking for a new earpiece.,0,amazon
411,I highly recommend this device to everyone!,1,amazon
412,Jawbone Era is awesome too!,1,amazon
413,We received a WHITE colored battery that goes DEAD after a couple hoursTHe original used to last a week - but still lasts longer than thereplacement,0,amazon
414,After a year the battery went completely dead on my headset.,0,amazon
415,"I have used several phone in two years, but this one is the best.",1,amazon
416,An Awesome New Look For Fall 2000!.,1,amazon
417,This is the first phone I've had that has been so cheaply made.,0,amazon
418,"Att is not clear, sound is very distorted and you have to yell when you talk.",0,amazon
419,The plastic breaks really easy on this clip.,0,amazon
420,Price is good too.,1,amazon
421,Don't make the same mistake I did.,0,amazon
422,Oh and I forgot to also mention the weird color effect it has on your phone.,0,amazon
423,I'm using it with an iriver SPINN (with case) and it fits fine.,1,amazon
424,Also the area where my unit broke).- I'm not too fond of the magnetic strap.,0,amazon
425,"Overall, I am psyched to have a phone which has all my appointments and contacts in and gets great reception.",1,amazon
426,"every thing on phone work perfectly, she like it.",1,amazon
427,"Another note about this phone's appearance is that it really looks rather bland, especially in the all black model.",0,amazon
428,IT'S REALLY EASY.,1,amazon
429,My Sanyo has survived dozens of drops on blacktop without ill effect.,1,amazon
430,Fantastic earphones.,1,amazon
431,It finds my cell phone right away when I enter the car.,1,amazon
432,Low Quality.,0,amazon
433,I highly recommend this modest priced cellular phone.,1,amazon
434,But it does get better reception and clarity than any phone I've had before.,1,amazon
435,Warning - Stay away.,0,amazon
436,I wish I could return the unit and get back my money.,0,amazon
437,Awsome Device Works Great!!.,1,amazon
438,I used to talk on it for 1 - 1 1/2 hours and the battery would be literally drained and dying.,0,amazon
439,"If you don't find it, too bad, as again the unit comes with one earpad only.I would not recommend this to anyone.",0,amazon
440,Very Displeased.,0,amazon
441,"I might have gotten a defect, but I would not risk buying it again because of the built quality alone.",0,amazon
442,They made this case too small and is very difficult to install.,0,amazon
443,Restored my phone to like new performance.,1,amazon
444,"I would recommend purchasing the Jabra JX-10 series 2 which works flawlessly with my Moto Q, go figure.",1,amazon
445,"I searched the Internet, and found this one to be the best value.",1,amazon
446,Does not fit.,0,amazon
447,Very happy with this product.,1,amazon
448,"The screen size is big, key pad lit well enough, and the camera quality is excellent for a camera phone.",1,amazon
449,There's really nothing bad I can say about this headset.,0,amazon
450,"i'm glad i found this product on amazon it is hard to find, it wasn't high priced.",1,amazon
451,Portable and it works.,1,amazon
452,"My colleague & I now get great reception.A little expensive, but performance is great.",1,amazon
453,I even fully charged it before I went to bed and turned off blue tooth and wi-fi and noticed that it only had 20 % left in the morning.,0,amazon
454,I've also had problems with the phone reading the memory card in which I always turn it on and then off again.,0,amazon
455,Not good when wearing a hat or sunglasses.,0,amazon
456,Timely shipment and quality product.,1,amazon
457,Nice solid keyboard.,1,amazon
458,Very well made and fits my Surefire GX2 perfectly.,1,amazon
459,Horrible phone.,0,amazon
460,BT50 battery junk!.,0,amazon
461,We would recommend these to others.,1,amazon
462,Cant get the software to work with my computer.,0,amazon
463,Disappointed!.,0,amazon
464,poor voice clarity.,0,amazon
465,The battery works great!,1,amazon
466,No buyers remorse on this one!.,0,amazon
467,Very disappointed in AccessoryOne.,0,amazon
468,I find this inexcusable and so will probably be returning this phone and perhaps changing carriers.,0,amazon
469,"Looks great and is strong.""",1,amazon
470,"I have had TMobile service for 2 or 3 years now, and I am pretty happy with it.",1,amazon
471,The update procedure is difficult and cumbersome.,0,amazon
472,Disappointment.. I hate anything that goes in my ear.,0,amazon
473,Great software for Motorolas.,1,amazon
474,The delivery was on time.,1,amazon
475,Very easy to use.,1,amazon
476,"Uncomfortable In the Ear, Don't use with LG VX9900 (EnV).",0,amazon
477,The volume switch rocketed out of the unit to a destination unknown.,0,amazon
478,"It holds a charge for a long time, is reasonably comfortable under long-wearing conditions and the quality of sound is tremendous.",1,amazon
479,I'd like to return it.,0,amazon
480,The keyboard is really worthwhile in usefulness and is sturdy enough I don't expect any problems.,1,amazon
481,"Verizon's bills, however, are difficult to understand even though their pricing plans are simple.",0,amazon
482,"After charging overnight, these batteries work great.",1,amazon
483,You won't regret it!,1,amazon
484,I love this phone!.,1,amazon
485,A Disappointment.,0,amazon
486,Its not user friendly.,0,amazon
487,Unfortunately the ability to actually know you are receiving a call is a rather important feature and this phone is pitiful in that respect.,0,amazon
488,"Then I exchanged for the same phone, even that had the same problem.",0,amazon
489,This results in the phone being either stuck at max volume or mute.,0,amazon
490,This PDA rocks.,1,amazon
491,"It is super charged up for use as a small hybrid palmtop/camera/cellphone, and excels in those roles.",1,amazon
492,"I would definitely recommend the Jabra BT250v for those who are looking for comfort, clarity and a great price!",1,amazon
493,I had Verizon 2 years ago and really liked their service.,1,amazon
494,Pretty piece of junk.,0,amazon
495,Plug was the wrong size.,0,amazon
496,Works as described.,1,amazon
497,Save your money.... I've had this item for 11 months now.,0,amazon
498,Bad Purchase.,0,amazon
499,WELL IM SATISFIED.,1,amazon
500,"The bose noise cancelling is amazing, which is very important for a NYC commuter.",1,amazon
501,This battery is an excellent bargain!,1,amazon
502,Defective crap.,0,amazon
503,I would have given no star if I was able.,0,amazon
504,I wear glasses and it fits fine with them.,1,amazon
505,"The sound quality for the device is unacceptable.Unless you are in a really quiet area, you almost hear nothing.",0,amazon
506,I would not recommend this item to anyone.,0,amazon
507,The holster that arrived did not match the photo in the ad.,0,amazon
508,great...no problems at all!.,1,amazon
509,"As an earlier review noted, plug in this charger and nothing happens.",0,amazon
510,This frog phone charm is adorable and very eye catching.,1,amazon
511,You never know if you pushed it hard enough or the right number of times for the function you want or not.,0,amazon
512,The sound is clear and the people I talk to on it are amazed at the quality too.,1,amazon
513,I got the aluminum case for my new Palm VX and it worked really well--it has protected my handheld perfectly so far.,1,amazon
514,"very good product, well made.",1,amazon
515,Mobile Phone Tools are a must have.,1,amazon
516,I am very impressed with the job that Motorola did on the sturdiness of this phone.,1,amazon
517,"I received my orders well within the shipping timeframe, everything was in good working order and overall, I am very excited to have this source.",1,amazon
518,The phone is sturdy and waterproof.,1,amazon
519,I am not impressed with this and i would not recommend this item to anyone.,0,amazon
520,My only complaint is the standard sound volume is a little low even when turned up to 5(of 5),0,amazon
521,Thanks again to Amazon for having the things I need for a good price!,1,amazon
