reviews,reviews_clean,labels,labels_name
Everything about it is fine and reasonable for the price i.e.,everyth fine reason price e,1,Good
VERY DISAPPOINTED.,veri disappointed,0,Bad
I even dropped this phone into a stream and it was submerged for 15 seconds and it still works great!,even drop thi phone stream wa submerg second still work great,1,Good
I have been very happy with the 510 and have had NO complaints from any one regarding my sound quality on their end.,veri happi no complaint ani one regard sound qualiti end,1,Good
The buttons for on and off are bad.,button bad,0,Bad
Essentially you can forget Microsoft's tech support.,essenti forget microsoft tech support,0,Bad
"I really recommend this faceplates since it looks very nice, elegant and cool.",realli recommend thi facepl sinc look veri nice eleg cool,1,Good
These headphones were a great find - and I think they are perhaps the best purchase I've made in the last several years - seriously.,headphon great find think perhap best purchas made last sever year seriously,1,Good
Buy a different phone - but not this.,buy differ phone not,0,Bad
You have to hold the phone at a particular angle for the other party to hear you clearly.,hold phone particular angl parti hear clearly,0,Bad
The one big drawback of the MP3 player is that the buttons on the phone's front cover that let you pause and skip songs lock out after a few seconds.,one big drawback mp player button phone front cover let paus skip song lock seconds,0,Bad
"A week later after I activated it, it suddenly died.",week later activ suddenli died,0,Bad
It feels more comfortable than most headsets because I wear glasses and that gets in the way sometimes.,feel comfort headset becaus wear glass get way sometimes,1,Good
Great for iPODs too.,great ipod,1,Good
This device is great in several situations:1.),thi devic great sever situations,1,Good
Mic Doesn't work.,mic doe not work,0,Bad
"Even in my BMW 3 series which is fairly quiet, I have trouble hearing what the other person is saying.",even bmw seri fairli quiet troubl hear person saying,0,Bad
Great choice!,great choice,1,Good
Nice docking station for home or work.,nice dock station home work,1,Good
This is a beautiful phone.,thi beauti phone,1,Good
Love this product.,love thi product,1,Good
Do Not Buy for D807...wrongly advertised for D807.,not buy wrongli advertis,0,Bad
This is a great little item.,thi great littl item,1,Good
"I love this phone , It is very handy and has a lot of features .",love thi phone veri handi ha lot featur,1,Good
I purchased this and within 2 days it was no longer working!!!!!!!!!,purchas thi within day wa no longer working,0,Bad
I wear it everyday and it holds up very well.,wear everyday hold veri well,1,Good
Not a good bargain.,not good bargain,0,Bad
"Well packaged, arrived on time, and works as intended.",well packaged arriv time work intended,1,Good
The battery runs down quickly.,batteri run quickly,0,Bad
"This item worked great, but it broke after 6 months of use.",thi item work great broke month use,0,Bad
The headsets are easy to use and everyone loves them.,headset easi use everyon love,1,Good
This phone works great.,thi phone work great,1,Good
The construction of the headsets is poor.,construct headset poor,0,Bad
Product was excellent and works better than the verizon one and Boy was it cheaper!,product wa excel work better verizon one boy wa cheaper,1,Good
The phone loads super!,phone load super,1,Good
"For a product that costs as much as this one does, I expect it to work far better and with greater ease than this thing does.",product cost much thi one expect work far better greater eas thi thing,0,Bad
Made very sturdy.,made veri sturdy,1,Good
Worked great!.,work great,1,Good
The ear buds only play music in one ear.,ear bud onli play music one ear,0,Bad
Dont waste your money...,dont wast money,0,Bad
Will order from them again!,order,1,Good
If you plan to use this in a car forget about it.,plan use thi car forget,0,Bad
I found this product to be waaay too big.,found thi product waaay big,0,Bad
Best I've found so far .... I've tried 2 other bluetooths and this one has the best quality (for both me and the listener) as well as ease of using.,best found far tri bluetooth thi one ha best qualiti listener well eas using,1,Good
I'm very disappointed with my decision.,veri disappoint decision,0,Bad
Integrated seamlessly with the Motorola RAZR phone.,integr seamlessli motorola razr phone,1,Good
"Buyer Beware, you could flush money right down the toilet.",buyer beware could flush money right toilet,0,Bad
Definitely a bargain.,definit bargain,1,Good
The price was very good and with the free shipping and all it was a good purchase.,price wa veri good free ship wa good purchase,1,Good
I received my supposedly new motorola 375 and apparently there was not a match between the phone and the charger.,receiv supposedli new motorola appar wa not match phone charger,0,Bad
"Pros:-Good camera - very nice pictures , also has cool styles like black and white, and more.",prosgood camera veri nice pictur also ha cool style like black white,1,Good
"That's a huge design flaw (unless I'm not using it correctly, which I don't think is the case).",huge design flaw unless not use correctly not think case,0,Bad
"I love my 350 headset.. My Jabra350 bluetooth headset is great, the reception is very good and the ear piece is a comfortable fit.",love headset jabra bluetooth headset great recept veri good ear piec comfort fit,1,Good
"The camera, although rated at an impressive 1.3 megapixels, renders images that fall well below expectations of such a relatively high resolution.",camera although rate impress megapixels render imag fall well expect rel high resolution,0,Bad
I purcashed this for the car charger and it does not work.,purcash thi car charger doe not work,0,Bad
"Sound quality on both end is excellent, I use headset to call my wife and ask my wife to use headset to call me !2.",sound qualiti end excellent use headset call wife ask wife use headset call,1,Good
This phone is slim and light and the display is beautiful.,thi phone slim light display beautiful,1,Good
its a little geeky but i think thats its sex on toast and it rocks and oozes sex right down to its battery embedded sleek stylish leather case.,littl geeki think sex toast rock ooz sex right batteri embed sleek stylish leather case,1,Good
"Great product, fast shipping!.",great product fast shipping,1,Good
Absolutely great.,absolut great,1,Good
The keyboard is a nice compromise between a full QWERTY and the basic cell phone number keypad.,keyboard nice compromis full qwerti basic cell phone number keypad,1,Good
i got this phone around the end of may and i'm completely unhappy with it.,got thi phone around end may complet unhappi,0,Bad
It is very comfortable on the ear.,veri comfort ear,1,Good
It has been a winner for us.,ha winner us,1,Good
)Setup couldn't have been simpler.,setup could not simpler,1,Good
I've tried several different earpieces for my cell phone and this Jabra one is the first one I've found that fits my ear comfortably.,tri sever differ earpiec cell phone thi jabra one first one found fit ear comfortably,1,Good
Could not get strong enough signal.,could not get strong enough signal,0,Bad
Iam very pleased with my purchase.,iam veri pleas purchase,1,Good
Bad Quality.,bad quality,0,Bad
Gets the job done.,get job done,1,Good
Great audio!.,great audio,1,Good
Basically the service was very bad.,basic servic wa veri bad,0,Bad
it did not work in my cell phone plug i am very up set with the charger!.,not work cell phone plug veri set charger,0,Bad
"I've only had my bluetooth for a few weeks, but I really like it.",onli bluetooth weeks realli like,1,Good
The BT headset was such a disapoinment.,bt headset wa disapoinment,0,Bad
It is so small and you don't even realize that it is there after a while of getting used to it.,small not even realiz get use,1,Good
The accompanied software is almost brilliant.,accompani softwar almost brilliant,1,Good
Headset works great & was packaged nicely to avoid any damage.,headset work great wa packag nice avoid ani damage,1,Good
!I definitly recommend!!,definitli recommend,1,Good
Buyer--Be Very Careful!!!!!.,buyerb veri careful,0,Bad
The majority of the Logitech earbud headsets failed.,major logitech earbud headset failed,0,Bad
Very good stuff for the price.,veri good stuff price,1,Good
My headset works just peachy-keen.,headset work peachykeen,1,Good
In my house I was getting dropped coverage upstairs and no coverage in my basement.,hous wa get drop coverag upstair no coverag basement,0,Bad
Voice recognition is tremendous!,voic recognit tremendous,1,Good
What a waste.,waste,0,Bad
"During several different 2 minute calls, I experienced 5 drops and it was in an area that had 5 bars.",dure sever differ minut calls experienc drop wa area bars,0,Bad
I was not happy with this item.,wa not happi thi item,0,Bad
very disappointed.,veri disappointed,0,Bad
The phone takes FOREVER to charge like 2 to 5 hours literally.,phone take forev charg like hour literally,0,Bad
I got this phone on reccomendation from a relative and I'm glad I did.,got thi phone reccomend rel glad,1,Good
What a waste of time!,wast time,0,Bad
Its reception is very very poor.,recept veri veri poor,0,Bad
Items stated as included from the description ARE NOT INCLUDED.,item state includ descript not included,0,Bad
"After 3 months, screen just went black all of a sudden.",months screen went black sudden,0,Bad
I Was Hoping for More.,wa hope,0,Bad
"Audio Quality is poor, very poor.",audio qualiti poor veri poor,0,Bad
I had absolutely no problem with this headset linking to my 8530 Blackberry Curve!,absolut no problem thi headset link blackberri curve,1,Good
"I know that sounds funny, but to me it seemed like sketchy technology that wouldn't work well.Well, this one works great.",know sound funny seem like sketchi technolog would not work well well thi one work great,1,Good
I've bought $5 wired headphones that sound better than these.,bought wire headphon sound better,0,Bad
This phone is very fast with sending any kind of messages and web browsing is significantly faster than previous phones i have used.,thi phone veri fast send ani kind messag web brows significantli faster previou phone used,1,Good
"Nice quality build, unlike some cheap s*** out there.",nice qualiti build unlik cheap,1,Good
This item is fantastic and works perfectly!,thi item fantast work perfectly,1,Good
And I just love the colors!,love colors,1,Good
W810i is just SUPERB.,wi superb,1,Good
"All I can do is whine on the Internet, so here it goes.The more I use the thing the less I like it.",whine internet goes th use thing less like,0,Bad
Great charger.,great charger,1,Good
This is essentially a communications tool that does not communicate.,thi essenti commun tool doe not communicate,0,Bad
Works like a charm; it work the same as the one I got with the phone.,work like charm work one got phone,1,Good
"I still maintain that monkeys shouldn't make headphones, we just obviously don't share enough DNA to copy the design over to humans.",still maintain monkey not make headphones obvious not share enough dna copi design humans,0,Bad
Great Value.,great value,1,Good
Doesn't work at all.. I bougth it for my L7c and its not working.,doe not work bougth lc not working,0,Bad
"The look of it is very sharp and the screen is nice and clear, with great graphics.",look veri sharp screen nice clear great graphics,1,Good
doesn't last long.,doe not last long,0,Bad
One thing I hate is the mode set button at the side.,one thing hate mode set button side,0,Bad
EXCELLENT SERVICE!!!!!!!!.,excel service,1,Good
Thank you for wasting my money.,thank wast money,0,Bad
How can that be?The audio quality is poor.,beth audio qualiti poor,0,Bad
The iGo chargers and tips are really great.,igo charger tip realli great,1,Good
The file browser offers all the options that one needs.Handsfree is great.,file browser offer option one needs handsfre great,1,Good
Superb Phone on a Great Network.,superb phone great network,1,Good
"I connected my wife's bluetooth,(Motorola HS850) to my phone and it worked like a charm whether the phone was in my pocket or the case.",connect wife bluetooth motorola hs phone work like charm whether phone wa pocket case,1,Good
"I put the latest OS on it (v1.15g), and it now likes to slow to a crawl and lock up every once in a while.",put latest os v g like slow crawl lock everi onc,0,Bad
It only recognizes the Phone as its storage device.,onli recogn phone storag device,0,Bad
"If you like a loud buzzing to override all your conversations, then this phone is for you!",like loud buzz overrid conversations thi phone,0,Bad
Don't buy this product.,not buy thi product,0,Bad
I've had this bluetoooth headset for some time now and still not comfortable with the way it fits on the ear.,thi bluetoooth headset time still not comfort way fit ear,0,Bad
The sound quality is good and functionality is awesome.,sound qualiti good function awesome,1,Good
"I have this phone and it is a thorn in my side, I really abhor it.",thi phone thorn side realli abhor,0,Bad
I recently had problems where I could not stay connected for more than 10 minutes before being disconnected.,recent problem could not stay connect minut befor disconnected,0,Bad
Incredible!.,incredible,1,Good
Design Flaw?.,design flaw,0,Bad
Great phone!.,great phone,1,Good
Waste of 13 bucks.,wast bucks,0,Bad
"But when I check voice mail at night, the keypad backlight turns off a few seconds into the first message, and then I'm lost.",check voic mail night keypad backlight turn second first message lost,0,Bad
The replacement died in a few weeks.,replac die weeks,0,Bad
Any ring tone..Overall good phone to buy..,ani ring tone overal good phone buy,1,Good
Lately they have been extremely nice and helpful on the phone.,late extrem nice help phone,1,Good
I have had problems wit hit dropping signal and more.,problem wit hit drop signal,0,Bad
Not impressed.,not impressed,0,Bad
"Light weight, I hardly notice it is there.",light weight hardli notic,1,Good
You'll love how thin it is.,love thin,1,Good
Bad Choice.,bad choice,0,Bad
The pleather case doesn't fit.,pleather case doe not fit,0,Bad
"useless phone, simply deaf.",useless phone simpli deaf,0,Bad
"The color is even prettier than I thought it would be, and the graphics are incredibly sharp.",color even prettier thought would graphic incred sharp,1,Good
All in all I think it was a good investment.,think wa good investment,1,Good
It makes very strange ticking noises before it ends the call.,make veri strang tick nois befor end call,0,Bad
The best electronics of the available FM Transmitters.,best electron avail fm transmitters,1,Good
Battery lasts only a few hours.,batteri last onli hours,0,Bad
"great headset, very impressed - H500.",great headset veri impress h,1,Good
"The ""1.2"" mega pixel camera, being a part of a phone, is reasonably good7.",mega pixel camera part phone reason good,1,Good
I've had this for nearly 2 years and it has worked great for me.,thi nearli year ha work great,1,Good
Good transmit audio.,good transmit audio,1,Good
We are sending it back.,send back,0,Bad
I did not bother contacting the company for few dollar product but I learned the lesson that I should not have bought this form online anyway.,not bother contact compani dollar product learn lesson not bought thi form onlin anyway,0,Bad
"If you hate earbugs, avoid this phone by all means.",hate earbugs avoid thi phone means,0,Bad
Great price also!,great price also,1,Good
"The range is very decent, I've been able to roam around my house with the phone in the living room with no reception/sound quality issues.",rang veri decent abl roam around hous phone live room no receptionsound qualiti issues,1,Good
fast service.,fast service,1,Good
I would highly recommend this.,would highli recommend,1,Good
I would recommend this.,would recommend,1,Good
"I also didn't like the ""on"" button, it felt like it would crack with use.",also not like button felt like would crack use,0,Bad
WORST PHONE EVER.,worst phone ever,0,Bad
I'm still infatuated with this phone.,still infatu thi phone,1,Good
Freezes frequently4.,freez frequently,0,Bad
It's kind of embarrassing to use because of how it looks and mostly it's embarrassing how child-like the company is.,kind embarrass use becaus look mostli embarrass childlik compani,0,Bad
"Simple, lightweight and great fit.",simple lightweight great fit,1,Good
"All in all, I'd expected a better consumer experience from Motorola.",would expect better consum experi motorola,0,Bad
There's a horrible tick sound in the background on all my calls that I have never experienced before.,horribl tick sound background call never experienc,0,Bad
These are certainly very comfortable and functionality is decent.,certainli veri comfort function decent,1,Good
I usually don't like headbands but this one is very lightweight & doesn't mess up my hair.,usual not like headband thi one veri lightweight doe not mess hair,1,Good
I'm a bit disappointed.,bit disappointed,0,Bad
"I have had this phone for over a year now, and I will tell you, its not that great.",thi phone year tell not great,0,Bad
I ordered this for sony Ericsson W810i but I think it only worked once (thats when I first used it).,order thi soni ericsson wi think onli work onc first use,0,Bad
The battery is completely useless to me.,batteri complet useless,0,Bad
What a big waste of time.,big wast time,0,Bad
Don't waste your $$$ on this one.,not wast thi one,0,Bad
Great sound and service.,great sound service,1,Good
Really pleased with this product so far.,realli pleas thi product far,1,Good
One of my favorite purchases ever.,one favorit purchas ever,1,Good
best bluetooth on the market.,best bluetooth market,1,Good
Authentic leather with nice shine and comfort .I recommend you this case !!,authent leather nice shine comfort recommend thi case,1,Good
I was very excited to get this headset because I thought it was really cute.,wa veri excit get thi headset becaus thought wa realli cute,1,Good
Do not make the same mistake as me.,not make mistak,0,Bad
Big Disappointment with calendar sync.,big disappoint calendar sync,0,Bad
the phone was unusable and was not new.,phone wa unus wa not new,0,Bad
Worst Customer Service Ever.,worst custom servic ever,0,Bad
"No additional ear gels provided, and no instructions whatsoever.",no addit ear gel provided no instruct whatsoever,0,Bad
It defeats the purpose of a bluetooth headset.,defeat purpos bluetooth headset,0,Bad
Worth every penny.,worth everi penny,1,Good
Excellent wallet type phone case.,excel wallet type phone case,1,Good
Nice headphones for the price and they work great!,nice headphon price work great,1,Good
Internet is excrutiatingly slow.,internet excrutiatingli slow,0,Bad
"It is very comfortable to wear as well, which is probably the most important aspect about using a case.",veri comfort wear well probabl import aspect use case,1,Good
"It's fits like a glove and is strong, secure, and durable.",fit like glove strong secure durable,1,Good
O my gosh the best phone I have ever had.,gosh best phone ever,1,Good
It's very attractive and appears to be of good quality.,veri attract appear good quality,1,Good
I love all the features and form factor.,love featur form factor,1,Good
This product had a strong rubber/petroleum smell that was unbearable after a while and caused me to return it,thi product strong rubberpetroleum smell wa unbear caus return,0,Bad
poor quality and service.,poor qualiti service,0,Bad
"The cable looks so thin and flimsy, it is scary.",cabl look thin flimsy scary,0,Bad
Great Earpiece.,great earpiece,1,Good
Excellent hands free tool.,excel hand free tool,1,Good
Great for using with your home stereo.,great use home stereo,1,Good
Good product - incredible value.,good product incred value,1,Good
Only had this a month but it's worked flawlessly so far.,onli thi month work flawlessli far,1,Good
Works great.,work great,1,Good
Absolutel junk.,absolutel junk,0,Bad
THAT one didn't work either.,one not work either,0,Bad
Battery life is real good.,batteri life real good,1,Good
Returned 8 hours later.,return hour later,0,Bad
It's a great item.,great item,1,Good
Don't waste your money!.,not wast money,0,Bad
Love this headset!,love thi headset,1,Good
"Not only will it drain your player, but may also potentially fry it.",not onli drain player may also potenti fri,0,Bad
Worked perfectly!,work perfectly,1,Good
Unreliable - I'm giving up.,unreli give,0,Bad
I gave it 5 stars because of the sound quality.,gave star becaus sound quality,1,Good
Avoid this one if you can.,avoid thi one,0,Bad
Reversible plug works great.,revers plug work great,1,Good
I wasted my little money with this earpiece.,wast littl money thi earpiece,0,Bad
Very good phone.,veri good phone,1,Good
"Best of all is the rotating feature, very helpful.",best rotat feature veri helpful,1,Good
Comfort for our whole family.,comfort whole family,1,Good
"Good product, good seller.",good product good seller,1,Good
I love this bluetooth!,love thi bluetooth,1,Good
"First of all, it doesn't wear well.",first doe not wear well,0,Bad
I am very impressed with this headset from Plantronics.,veri impress thi headset plantronics,1,Good
I got it because it was so small and adorable.,got becaus wa small adorable,1,Good
Great phone!.,great phone,1,Good
I wouldn't recommend buying this product.,would not recommend buy thi product,0,Bad
Piece of Junk.,piec junk,0,Bad
Poorly contstruct hinge.,poorli contstruct hinge,0,Bad
"This item is great, installed it, let it charged up overnite and it has been working good every since with no problems",thi item great instal let charg overnit ha work good everi sinc no problem,1,Good
Great Phone.,great phone,1,Good
Don't buy it.,not buy,0,Bad
Excellent Phone.,excel phone,1,Good
DO NOT PURCHASE THIS PHONE.,not purchas thi phone,0,Bad
The voice recognition thru the handset is excellent.,voic recognit thru handset excellent,1,Good
This is hands down the best phone I've ever had.,thi hand best phone ever,1,Good
"Works great, when my cat attacked the phone he scratched the protective strip instead of destroying the screen.",work great cat attack phone scratch protect strip instead destroy screen,1,Good
This one works and was priced right.,thi one work wa price right,1,Good
Customer service was terrible.,custom servic wa terrible,0,Bad
Battery life still not long enough in Motorola Razor V3i.,batteri life still not long enough motorola razor vi,0,Bad
Sending it back.,send back,0,Bad
Now I know that I made a wise decision.,know made wise decision,1,Good
Someone shouldve invented this sooner.,someon shouldv invent thi sooner,1,Good
Good price.,good price,1,Good
Everything worked on the first try.The device was certainly engineered in a clever way and the construction feels good.,everyth work first try th devic wa certainli engin clever way construct feel good,1,Good
I received it quickly and it works great!!,receiv quickli work great,1,Good
Has been working great.,ha work great,1,Good
"As many people complained, I found this headset's microphone was very weak.",mani peopl complained found thi headset microphon wa veri weak,0,Bad
My 5-year old Nokia 2160 from Tracfone holds the charge a lot better than this.,year old nokia tracfon hold charg lot better,0,Bad
They do not care about the consumer one bit.,not care consum one bit,0,Bad
"This is a good battery, and it got here really fast.",thi good battery got realli fast,1,Good
The instruction manual is lacking.,instruct manual lacking,0,Bad
Also its slim enough to fit into my alarm clock docking station without removing the case.,also slim enough fit alarm clock dock station without remov case,1,Good
Phone now holds charge like it did when it was new.,phone hold charg like wa new,1,Good
The battery is unreliable as well as the service use antena.,batteri unreli well servic use antena,0,Bad
It's uncomfortable and the sound quality is quite poor compared with the phone (Razr) or with my previous wired headset (that plugged into an LG).,uncomfort sound qualiti quit poor compar phone razr previou wire headset plug lg,0,Bad
We have gotten a lot of compliments on it.,gotten lot compliment,1,Good
This is definitely a must have if your state does not allow cell phone usage while driving.,thi definit must state doe not allow cell phone usag driving,1,Good
I want my money back.,want money back,0,Bad
I love this device.,love thi device,1,Good
I am also very happy with the price.,also veri happi price,1,Good
I ordered this product first and was unhappy with it immediately.,order thi product first wa unhappi immediately,0,Bad
The Ngage is still lacking in earbuds.,ngage still lack earbuds,0,Bad
I was able to do voice dialing in the car with no problem.,wa abl voic dial car no problem,1,Good
"I have 2-3 bars on my cell phone when I am home, but you cant not hear anything.",bar cell phone home cant not hear anything,0,Bad
"good item, low price.",good item low price,1,Good
"However-the riingtones are not the best, and neither are the games.",howeverth riington not best neither games,0,Bad
The plug did not work very well.,plug not work veri well,0,Bad
AMAZON SUCKS.,amazon sucks,0,Bad
Rip off---- Over charge shipping.,rip charg shipping,0,Bad
VERY comfortable.,veri comfortable,1,Good
The battery is working well as a replacement for the original that came with the phone over 2 years ago.,batteri work well replac origin came phone year ago,1,Good
The reception is excellent!,recept excellent,1,Good
"It fits comfortably in either ear, the sound is clear and loud, and the charge lasts a couple of days.",fit comfort either ear sound clear loud charg last coupl days,1,Good
"very clear, quality sound and you don't have to mess with the sound on your iPod since you have the sound buttons on the headset.",veri clear qualiti sound not mess sound ipod sinc sound button headset,1,Good
1. long lasting battery (you don't have to recharge it as frequentyly as some of the flip phones)2.,long last batteri not recharg frequentyli flip phones,0,Bad
Obviously there is a problem with the adhesive.,obvious problem adhesive,0,Bad
Very disappointing.,veri disappointing,0,Bad
"It was an inexpensive piece, but I would still have expected better quality.",wa inexpens piece would still expect better quality,0,Bad
It is practically useless and did not add any kind of boost to my reception after I bought it.,practic useless not add ani kind boost recept bought,0,Bad
Excellent sound quality.,excel sound quality,1,Good
Was not happy.,wa not happy,0,Bad
A PIECE OF JUNK THAT BROKE AFTER BEING ON MY PHONE FOR 2 DAYS!!!,piec junk broke phone days,0,Bad
New Battery works great in phone.,new batteri work great phone,1,Good
Worst customer service.,worst custom service,0,Bad
"I've dropped my phone more times than I can say, even on concrete and my phone is still great (knock on wood!).",drop phone time say even concret phone still great knock wood,1,Good
Reception is terrible and full of static.,recept terribl full static,0,Bad
Good audio quality.,good audio quality,1,Good
This little device has transformed my organizational capability and made my life a whole lot easier.,thi littl devic ha transform organiz capabl made life whole lot easier,1,Good
"I was sitting in my vehicle, with the cradle on my belt, and the headset lost signal.",wa sit vehicle cradl belt headset lost signal,0,Bad
Were JERKS on the phone.,jerk phone,0,Bad
Works like a charm.. Works as advertised.,work like charm work advertised,1,Good
"Comfortable, Nice Range, Good Battery Life.",comfortable nice range good batteri life,1,Good
Their network coverage in Los Angeles is horrible.,network coverag lo angel horrible,0,Bad
Excellent starter wireless headset.,excel starter wireless headset,0,Bad
"The loudspeaker option is great, the bumpers with the lights is very ... appealing.",loudspeak option great bumper light veri appealing,0,Bad
The only thing that I think could improve is the sound leaks out from the headset.,onli thing think could improv sound leak headset,0,Bad
"First off the reception sucks, I have never had more than 2 bars, ever.",first recept sucks never bars ever,0,Bad
The phone gets EXTREMELY HOT!,phone get extrem hot,0,Bad
"The microphone also works well, but (according to people I have called) it applifies everything.",microphon also work well accord peopl called applifi everything,1,Good
Nice design and quality.,nice design quality,1,Good
"Also, if your phone is dropped, this case is not going to save it, specially when dropped face down.",also phone dropped thi case not go save special drop face,0,Bad
"It is light, easy to use, and has very clear reception and transmission.",light easi use ha veri clear recept transmission,1,Good
"bad fit, way too big.",bad fit way big,0,Bad
It definitely was not as good as my S11.,definit wa not good,1,Good
awesome device.,awesom device,1,Good
Waste of money.,wast money,0,Bad
"I had ordered a motorola data cable, got a very well finished and working product.",order motorola data cable got veri well finish work product,1,Good
Love This Phone.,love thi phone,1,Good
I was looking for this headset for a long time and now that I've got it I couldn't be happier.,wa look thi headset long time got could not happier,1,Good
"I'll be drivng along, and my headset starts ringing for no reason.",drivng along headset start ring no reason,0,Bad
Display is excellent and camera is as good as any from that year.,display excel camera good ani year,1,Good
Battery life is also great!,batteri life also great,1,Good
The worst phone I've ever had.... Only had it for a few months.,worst phone ever onli months,0,Bad
Not a good item.. It worked for a while then started having problems in my auto reverse tape player.,not good item work start problem auto revers tape player,0,Bad
This is so embarassing and also my ears hurt if I try to push the ear plug into my ear.,thi embarass also ear hurt tri push ear plug ear,0,Bad
Protects the phone on all sides.,protect phone sides,1,Good
This is a VERY average phone with bad battery life that operates on a weak network.,thi veri averag phone bad batteri life oper weak network,0,Bad
"Clear Skype Calls, Long Battery Life, Long Range.",clear skype calls long batteri life long range,1,Good
Soyo technology sucks.,soyo technolog sucks,0,Bad
Great Hands Free Device.,great hand free device,1,Good
"you can even take self portraits with the outside (exterior) display, very cool.",even take self portrait outsid exterior display veri cool,1,Good
Same problem as others have mentioned.,problem mentioned,0,Bad
After trying many many handsfree gadgets this is the one that finally works well.,tri mani mani handsfre gadget thi one final work well,1,Good
Magical Help.,magic help,1,Good
The worst piece of crap ever along with the Verizon customer service.,worst piec crap ever along verizon custom service,0,Bad
Poor sound quality.,poor sound quality,0,Bad
The best phone in market :).,best phone market,1,Good
It worked very well.,work veri well,1,Good
The company shipped my product very promptly and it works well.,compani ship product veri promptli work well,1,Good
Exactly what I wanted.,exactli wanted,1,Good
The picture resolution is far below what other comparably-priced phones are offering today.,pictur resolut far comparablypr phone offer today,0,Bad
